City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tasiilaq,65.6145,-37.6368,10.09,76,13,1.17,GL,1690559025
1,esperance,-33.8667,121.9,13.68,74,6,9.18,AU,1690559026
2,mirabad,30.4362,61.8383,39.74,10,0,8.36,AF,1690559026
3,rikitea,-23.1203,-134.9692,21.81,70,95,8.16,PF,1690559026
4,kapaa,22.0752,-159.319,27.18,85,75,5.14,US,1690559026
5,eydhafushi,5.1033,73.0708,28.53,72,10,3.11,MV,1690559028
6,atuona,-9.8,-139.0333,26.1,68,72,9.9,PF,1690559028
7,yulara,-25.2406,130.9889,16.4,46,77,3.11,AU,1690559028
8,barrow,71.2906,-156.7887,11.01,87,20,5.14,US,1690559029
9,chivay,-15.6383,-71.6011,11.56,19,11,2.17,PE,1690559032
10,ribeira grande,38.5167,-28.7,25.22,88,75,8.75,PT,1690559033
11,butaritari,3.0707,172.7902,28.37,77,75,5.61,KI,1690559033
12,nantucket,41.2835,-70.0995,30.08,80,0,3.05,US,1690558753
13,adre,13.4667,22.2,28.6,55,50,6.91,TD,1690559033
14,khatanga,71.9667,102.5,17.56,55,4,5.11,RU,1690559034
15,ambilobe,-13.2,49.05,22.26,76,6,1.06,MG,1690559034
16,saint-philippe,-21.3585,55.7679,20.77,70,7,4.16,RE,1690559034
17,dikson,73.5069,80.5464,12.3,71,100,4.39,RU,1690559035
18,vlagtwedde,53.0275,7.1083,25.02,71,97,2.04,NL,1690559035
19,saldanha,-33.0117,17.9442,12.03,92,99,8.1,ZA,1690559035
20,riyadh,24.6877,46.7219,43.08,8,100,2.93,SA,1690558801
21,cody,44.5263,-109.0565,21.44,52,0,1.54,US,1690558752
22,jacqueville,5.2052,-4.4146,24.94,88,78,5.29,CI,1690559036
23,billings,45.7833,-108.5007,21.83,62,20,3.13,US,1690558866
24,severo-kurilsk,50.6789,156.125,11.19,98,100,1.96,RU,1690559037
25,rongcheng,30.634,117.8517,25.22,96,100,3.37,CN,1690559037
26,nakamura,32.9833,132.9333,24.17,97,45,1.34,JP,1690559037
27,hagere selam,6.4833,38.5167,10.87,96,94,0.96,ET,1690559037
28,thompson,55.7435,-97.8558,17.09,67,75,3.6,CA,1690559038
29,puerto ayora,-0.7393,-90.3518,27.98,90,99,3.58,EC,1690559038
30,strelitsa,51.6083,38.9102,21.2,73,99,2.81,RU,1690559038
31,saint george,37.1041,-113.5841,33.57,17,0,0.0,US,1690559038
32,eureka,40.8021,-124.1637,15.67,88,64,0.45,US,1690558900
33,kandrian,-6.2167,149.55,24.63,97,98,4.56,PG,1690559039
34,sulphur,30.2366,-93.3774,32.21,64,0,2.06,US,1690559018
35,nalut,31.8685,10.9812,40.01,13,1,5.94,LY,1690559039
36,almaznyy,48.0448,40.045,20.25,66,100,8.33,RU,1690559040
37,georgetown,6.8045,-58.1553,30.16,76,14,3.32,GY,1690559040
38,avarua,-21.2078,-159.775,22.03,88,20,2.57,CK,1690559040
39,punta arenas,-53.15,-70.9167,-2.16,86,100,4.5,CL,1690558805
40,tallahassee,30.4383,-84.2807,30.91,81,75,2.57,US,1690558916
41,tautira,-17.7333,-149.15,25.17,86,63,8.23,PF,1690559041
42,ushuaia,-54.8,-68.3,3.81,60,75,5.66,AR,1690559041
43,kon tum,14.35,108.0,22.24,99,91,0.96,VN,1690559041
44,vaini,-21.2,-175.2,18.09,72,40,2.57,TO,1690559041
45,busselton,-33.65,115.3333,14.93,82,32,7.34,AU,1690559042
46,igrim,63.1906,64.4162,18.54,79,72,3.23,RU,1690559042
47,saint anthony,45.0205,-93.218,27.79,71,0,4.12,US,1690559042
48,yellowknife,62.456,-114.3525,19.29,68,75,2.57,CA,1690559043
49,bluff,-46.6,168.3333,4.33,83,98,5.02,NZ,1690559043
50,ilulissat,69.2167,-51.1,6.01,87,40,2.06,GL,1690559048
51,husum,54.4858,9.0524,22.86,66,78,2.41,DE,1690559048
52,lebu,-37.6167,-73.65,13.17,78,100,1.47,CL,1690559049
53,alta floresta,-9.8756,-56.0861,35.9,26,0,4.63,BR,1690559049
54,mount gambier,-37.8333,140.7667,9.33,98,45,3.37,AU,1690559049
55,plouzane,48.3833,-4.6167,19.18,85,100,7.2,FR,1690559050
56,razole,16.4833,81.8333,26.59,82,91,4.59,IN,1690559050
57,port alfred,-33.5906,26.891,17.88,85,49,5.21,ZA,1690559050
58,coquimbo,-29.9533,-71.3436,12.85,94,75,4.63,CL,1690559045
59,taksimo,56.3444,114.8794,19.68,78,75,0.68,RU,1690559051
60,hermanus,-34.4187,19.2345,16.0,79,14,4.8,ZA,1690559051
61,sao filipe,14.8961,-24.4956,26.36,73,11,5.92,CV,1690559052
62,yumen,40.2833,97.2,30.24,14,65,9.85,CN,1690559052
63,qaanaaq,77.484,-69.3632,8.27,65,89,1.49,GL,1690559052
64,chokurdakh,70.6333,147.9167,6.59,81,99,1.36,RU,1690559053
65,sesimbra,38.4445,-9.1015,29.79,47,25,7.97,PT,1690559053
66,westport,41.1415,-73.3579,32.33,67,0,0.45,US,1690559053
67,isla vista,34.4133,-119.861,32.41,83,20,0.0,US,1690559053
68,conway,35.0887,-92.4421,34.9,26,4,3.09,US,1690558890
69,brae,60.3964,-1.353,13.88,90,96,6.3,GB,1690559054
70,hithadhoo,-0.6,73.0833,28.11,75,100,3.43,MV,1690559054
71,hilo,19.7297,-155.09,22.01,92,100,4.12,US,1690558764
72,siderno,38.2779,16.302,30.01,49,0,4.14,IT,1690559055
73,tuktoyaktuk,69.4541,-133.0374,14.0,94,75,3.09,CA,1690559055
74,barra do garcas,-15.89,-52.2567,33.32,35,0,2.57,BR,1690559055
75,vila velha,-20.3297,-40.2925,26.97,70,40,4.12,BR,1690559056
76,bredasdorp,-34.5322,20.0403,13.29,74,10,1.38,ZA,1690559056
77,zhigansk,66.7697,123.3711,13.94,58,83,3.8,RU,1690559056
78,kjollefjord,70.9457,27.3465,10.9,87,75,3.09,NO,1690559057
79,san cristobal,7.7669,-72.225,28.1,80,69,2.87,VE,1690558899
80,alofi,-19.0595,-169.9187,20.94,94,100,2.06,NU,1690559057
81,temiscaming,46.7212,-79.0971,24.73,69,61,3.6,CA,1690559058
82,albany,42.6526,-73.7562,31.14,68,40,2.06,US,1690558987
83,enfield,-34.8526,138.6026,14.11,88,100,3.6,AU,1690559058
84,kamina,-8.7386,24.9906,26.93,20,2,2.84,CD,1690559059
85,inverell,-29.7833,151.1167,7.59,87,4,1.78,AU,1690559059
86,paamiut,61.994,-49.6678,5.26,87,100,1.91,GL,1690559059
87,ternate,0.8,127.4,27.21,79,100,2.36,ID,1690559059
88,vostok,46.4856,135.8833,19.04,97,100,1.96,RU,1690559060
89,puerto cabezas,14.0351,-83.3888,25.98,89,40,2.87,NI,1690558819
90,ahuimanu,21.4447,-157.8378,25.84,74,75,7.2,US,1690559061
91,bonthe,7.5264,-12.505,25.52,89,99,4.63,SL,1690559061
92,korla,41.7597,86.1469,32.13,25,77,4.49,CN,1690559061
93,chyhyryn,49.0838,32.6555,22.61,46,95,8.14,UA,1690559062
94,kodiak,57.79,-152.4072,11.73,100,100,5.14,US,1690559062
95,praia da vitoria,38.7333,-27.0667,29.14,70,40,5.39,PT,1690559064
96,bengkulu,-3.8004,102.2655,24.6,90,94,2.46,ID,1690559064
97,upernavik,72.7868,-56.1549,3.41,87,88,1.47,GL,1690559065
98,saskylakh,71.9167,114.0833,13.84,60,57,3.99,RU,1690559065
99,hobart,-42.8794,147.3294,13.48,74,96,4.63,AU,1690558819
